industry,industry_uuid,category,subcategory_1,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Inverter,olit_6507f7fd73f44aca9ad4810c5370886c,5 Ton AC Pro Z Series 17.5 Seer2 Inverter Heat Pump Split System,"•Includes equipment and labor
•Includes removal and disposal of old equipment
•Includes 10 year no registration manufacturer warranty and 1 year labor warranty
•Includes wifi thermostat if needed
",$8977.00,$6851.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Inverter,olit_976f2a2b86e34dbf85b0aad2c3ad62bf,4 ton AC Pro Z Series 17.5 Seer2 Inverter Heat Pump Split System,"Condenser SPHP-Z-V048BB


Removal & proper disposal of existing equipment

Installation of new indoor/outdoor units

Line set flushing of contaminations.

New electrical whip and disconnect

Pressure testing, evacuation, and factory-recommended startup procedure

System commissioning & performance verification

Jobsite cleanup and haul-away

10-Year Parts Warranty (with registration)

10-Year Compressor Warranty

1-Year Labor Warranty (included by Polar Air)

Optional: Extended Labor Warranty Available (up to 10 years)",$10570.00,$6155.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Inverter,olit_a32c2179c3e545fdbb4b98ea68703493,4-5 Ton Ac Pro X Series 18.5-19 Seer2 Heat Pump Split System,"Condenser - SPHP-X-I060B

Removal & proper disposal of existing equipment

Installation of new indoor/outdoor units

Line set flushing of contaminations.

New electrical whip and disconnect

Pressure testing, evacuation, and factory-recommended startup procedure

System commissioning & performance verification

Jobsite cleanup and haul-away

10-Year Parts Warranty (No Registration Necessary)

10-Year Compressor Warranty

1-Year Labor Warranty (included by Polar Air)

Optional: Extended Labor Warranty Available (up to 10 years)

",$11375.00,$6125.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Thermostats,"",olit_9e94b6c5eec84b8bb396a7705db75bc4,Honeywell T9 Touch Screen Wifi Thermostat,Includes remote room sensor.,$295.00,$259.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,M Series Gas,olit_53d27002790c46868af741bbda178908,5 Ton AC Pro M Series 13.8 Seer2 Straight Cool Condenser Coil and Furnace,"Eco-friendly R454B refrigerant with low GWP value.
10 year parts and compressor warranty, no registration necessary.
1 year labor warranty.
ECM fan motor and unique blade style allowing for smooth discharge air and quieter operation.
80% 100k btu furnace.
Wifi thermostat included. 
Includes all labor and materials. 


",$9921.00,$5500.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Miscellaneous,olit_56060ac88f524306a912ce79032123fe,Standard Crane Service,1 Hour Standard distance crane service.,$195.00,$150.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair Services,"",olit_9acaad2f36bd4f2e9c532055c055342c,HVAC Inspection,"Inspect one hvac system for proper function including amp draws, capacitors, refrigerant pressures, temperature splits, condensate drain lines, overall condition. Does not include any repairs. ",$125.00,$50.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair Services,"",olit_d45c6c6a368943a397167eb6c4545366,Additional HVAC Inspection,Inspect additional system.,$75.00,$35.00,false,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Thermostats,"",olit_35eeefb85ae248cd9be965c62d68e89c,Basic Thermostat,,$85.00,$55.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Filters,"",olit_3f91f8ad30844590b66b85b0984439ad,Commercial Filter,,$15.00,$5.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Commercial Service,"",olit_e6de8614906647958cce75ef9f98dc17,Commercial Diagnostic,"Reported Issue:

Findings:",$150.00,$75.00,false,Each,"",true
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Commercial Service,"",olit_cc98ca3ee9104d09a5b6f36c25b903d3,Coil Cleaning Level 1,"Level 1 coil accessibility. Clean with coil cleaner, water, brush etc. ",$50.00,$25.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Mini Split,olit_0eb0595df758462dadd20e669a3fe94f,AC Pro D-Series 12k Mini Split,"D-Series Mini-Split Installation – 12,000 BTU, 19 SEER2, Single Zone, Heat Pump

This proposal includes the complete installation of a high-efficiency AC Pro D-Series mini-split system (Model: MHPC-D-012BSC condenser with MWAL-D-012BSC indoor unit).

Scope of Work:
•Supply and install one (1) 12,000 BTU D-Series Mini-Split Heat Pump System, 19 SEER2 efficiency, R32 refrigerant, single-zone, wall-mounted indoor unit with optional built-in WiFi capability.
•Includes all necessary equipment, line set, drain line, electrical disconnect, mounting hardware, and materials for a complete installation.
•Remove and properly dispose of any existing equipment (if applicable).
•Test system for proper operation and performance.

Warranty:
•Manufacturer Warranty: 10-year parts and compressor (no registration required).
•Labor Warranty: 1-year coverage on installation workmanship.

Benefits:
•Energy-efficient design to help lower utility costs.
•Quiet rotary compressor and multi-speed operation for enhanced comfort.
•Environmentally friendly R32 refrigerant.

Included in Price:
•Equipment and labor
•Removal/disposal of old equipment
•Warranty coverage as outlined above

(does not include high voltage between breaker panel and outdoor unit)",$0.00,$0.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair Services,"",olit_63f90a419b5c42aab5e6b58a54a93ba9,Condensate Safety Switch,"Scope of Work – Condensate Safety Switch Installation

Supply and install a new SS1 (primary pan float) or SS2 (secondary pan float) condensate safety switch to protect against water damage caused by condensate overflow.

Mount safety switch in appropriate location per manufacturer’s guidelines (SS1 on primary drain line, or SS2 on auxiliary drain pan).

Wire safety switch into low-voltage circuit to automatically shut down the air handler/furnace in the event of a clogged drain or overflow condition.

Test operation of the switch to ensure proper shut-off functionality.

Verify condensate drainage is clear and system is operating normally after installation.",$115.00,$75.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Package Unit,olit_75a99f4de96747c6ade0df4ebd20dd3e,AC Pro P-Series Packaged 5 Ton Heat Pump,"P-Series Packaged Heat Pump 5 Ton 13.4 SEER2 208/230V Single Phase Single Stage R454B
AC Pro    |    AC Pro #: 84557    MFG #: PKHP-P-0601BB
Quiet, high-efficiency, single-stage compressor.
Internal protection against high temperature motor overload conditions.
10 Year Parts & Compressor Warranty, no registration required.
Powder-coated galvanized steel construction.

Includes all materials needed for install, labor, and crane service. 
Includes 1 year labor warranty. ",$9240.00,$6600.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Mini Split,olit_b633c5e721e444f884ca06bf1f90771b,Mitsubishi Single Zone 9k Mini Split,"Scope of Work – 9,000 BTU Mitsubishi Mini Split Installation

Work to be Performed

Provide and install one (1) Mitsubishi 9k BTU ductless mini-split system (indoor air handler & outdoor condenser).

Mount indoor and outdoor units in customer-approved locations.

Install refrigerant line set, control wiring, and condensate drain.

Connect to disconnect(high voltage back to panel not included).

Evacuate, charge, and commission system per Mitsubishi specifications.

Test operation and provide basic use instructions.

Remove all installation debris and leave area clean.

Mitsubishi products include a 10-year warranty with the requirement that installation is completed by a licensed contractor and that the product is registered at https://metahvac.com/ within 90 days of installation.

1 year labor warranty included.",$4285.00,$2200.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Replacement,Mini Split,olit_cf7bae8a23264b158bb610d068b61ad6,9k Single Zone Mini Split,"Scope of Work – 9,000 BTU Mini Split Installation

Work to be Performed

Provide and install one (1) 9k BTU ductless mini-split system (indoor air handler & outdoor condenser).

Mount indoor and outdoor units in customer-approved locations.

Install refrigerant line set, control wiring, and condensate drain.

Connect to disconnect(high voltage back to panel not included).

Evacuate, charge, and commission system per Mitsubishi specifications.

Test operation and provide basic use instructions.

Remove all installation debris and leave area clean.

Manufacturer warranty included (typically around 5 years)

1 year labor warranty included.",$3475.00,$1700.00,false,Each,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Disconnects,olit_4cd72e1ea56a480d80cdcd82fb133d68,Disconnect + Whip Replacement (Residential),"Replace existing outdoor disconnect and liquid-tight whip for safe, code-compliant power connection. Includes 1-year labor warranty and full manufacturer warranty.",$484.02,$29.77,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Disconnects,olit_5b8d76d25e3e4e7bb3d49fd4defc6ce8,Disconnect Replacement (3-Phase Commercial),Replace 3‑phase fusible disconnect for commercial equipment (materials only; fusing per spec). Includes 1-year labor warranty and full manufacturer warranty.,$994.67,$286.59,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Contactors,olit_92968c8edd9f40daafc4acc7d0ed5e44,Contactor Replacement (Any Size/Pole),Replace failed contactor to ensure reliable power delivery to compressor and fan. Includes 1-year labor warranty and full manufacturer warranty.,$359.14,$19.85,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Transformers,olit_b836d36e463949cc897f457c937a40e4,Transformer Replacement (24V Control),Replace failed control transformer to restore 24V operations. Includes 1-year labor warranty and full manufacturer warranty.,$402.50,$47.60,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Relays,olit_3c25a9014f8f440db97f819998ff18e8,Relay Replacement (Any Type),Replace defective relay to restore proper system control. Includes 1-year labor warranty and full manufacturer warranty.,$239.33,$13.17,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Capacitors,"",olit_9f8675f6023c4e6bbd11b71662c80d57,Capacitor Replacement – Fan Run (3–15 MFD),Replace failed fan run capacitor (3–15 MFD) to restore proper motor operation. Includes 1-year labor warranty and full manufacturer warranty.,$225.02,$4.01,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Capacitors,"",olit_5af54c3d4e8c45809bb4d9ad8eea3c5e,Capacitor Replacement – Compressor Run (16+ MFD),Replace failed compressor run capacitor (16+ MFD) for reliable startup and cooling. Includes 1-year labor warranty and full manufacturer warranty.,$255.77,$23.69,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Capacitors,"",olit_ad4260aa25d44abf8778e9e828a8e38f,Capacitor Replacement – Dual Run (Any Size),Replace dual run capacitor to restore fan and compressor operation. Includes 1-year labor warranty and full manufacturer warranty.,$272.84,$34.62,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Breakers,olit_ce8fbdaf954141cab81b835f7623803a,Circuit Breaker Replacement (2‑Pole 40A Residential),"Replace outdoor AC circuit breaker (2‑pole) for safe, code-compliant protection. Includes 1-year labor warranty and full manufacturer warranty.",$389.22,$39.10,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Controls,Boards,olit_e21965030bbe4a3796000b9916280ce5,Control Board Replacement (OEM / Defrost / Furnace),Replace failed control board and transfer wiring to restore system operation. Includes 1-year labor warranty and full manufacturer warranty.,$685.33,$158.61,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,TXV,olit_2f7d880de87f42578afaa89a0760d536,"TXV Replacement (3.5–5 Ton, OEM) – Refrigerant Not Included",Replace thermal expansion valve and test operation. Refrigerant recovery/charge billed separately. Includes 1-year labor warranty and full manufacturer warranty.,$1513.27,$128.49,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Leak,olit_a07e3a8e87214499a7e80c8b0305dd13,"Leak Search – Basic (Electronic/Nitrogen, up to 1.5 hrs)",Perform electronic/nitrogen leak search to locate refrigerant leak source. Includes 1-year labor warranty on workmanship (no refrigerant included). Includes 1-year labor warranty and full manufacturer warranty where applicable.,$695.31,$25.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Leak,olit_15b103615d224afabbcfd2d25a8fbaaf,Leak Search – Comprehensive (Hard-to-Reach / Attic / Lineset Tracing),Comprehensive leak search including hard-to-access areas and line-set tracing. Includes 1-year labor warranty on workmanship (no refrigerant included). Includes 1-year labor warranty and full manufacturer warranty where applicable.,$1148.44,$35.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Leak,olit_432b9076ef8d42dba8bf17360e809b00,"Leak Repair – Minor Brazed Repair (Accessible, Single Point)",Brazed repair at a single accessible leak point with nitrogen purge. Includes 1-year labor warranty on workmanship (no refrigerant included). Includes 1-year labor warranty and full manufacturer warranty where applicable.,$710.94,$35.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Leak,olit_c45cb6d2b81f4296a19e50d621b4a150,Leak Repair – Evaporator Coil (Braze/Pinhole In-Place),Spot repair of evaporator coil leak in place (where feasible). Includes nitrogen purge. 1-year labor warranty on workmanship (no refrigerant included). Includes 1-year labor warranty and full manufacturer warranty where applicable.,$1156.25,$40.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Leak,olit_3c3668e5cd91474a9b9ec77db2aa7a00,Leak Repair – Line Set (Patch/Splice up to 6 ft),Repair line set leak with patch/splice and reinsulate up to 6 ft. Includes 1-year labor warranty on workmanship (no refrigerant included). Includes 1-year labor warranty and full manufacturer warranty where applicable.,$1390.62,$50.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Condenser Coil,olit_d4f51a6c10b846f0b49fd724fbba8feb,Condenser Coil Cleaning – Standard (Ground-Level),Rinse and detergent clean of outdoor coil; straighten fins as needed. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$460.94,$15.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Condenser Coil,olit_5b346979dbc34793b80f4fe44d628818,Condenser Coil Cleaning – Deep Chemical,Heavy-duty chemical cleaning with panel removal as needed. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$695.31,$25.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Evaporator Coil,olit_5c046c6d21754766b2aff20e40848c46,Evaporator Coil Cleaning – Accessible (Clean in Place),Clean evaporator coil in place; includes drain pan rinse and trap flush. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$695.31,$25.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Evaporator Coil,olit_54e2797b8c4142b1a0869c06cf489a1b,Evaporator Coil Cleaning – Not Easily Accessible,Clean evaporator coil in tight/attic or vertical applications. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$1132.81,$25.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Evaporator Coil,olit_0f6c8d1cab13497ab396b5ec040c521c,Evaporator Coil – Pull & Clean (Refrigerant Not Included),"Remove, clean, and reinstall evaporator coil. Refrigerant recovery/evacuation/recharge billed separately. Includes 1-year labor warranty on workmanship. Includes 1-year labor warranty and full manufacturer warranty where applicable.",$1796.88,$30.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Blower,olit_ce58297396b4448ab68cbff887ee17b8,Blower Wheel Cleaning – In Place (Light),Clean blower wheel and housing in place; balance and test airflow. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$671.88,$10.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Blower,olit_eaa0d68f47e248509597cb294734651c,Blower Wheel Cleaning – Remove & Clean (Heavy),Remove and deep-clean blower wheel; reinstall and rebalance. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$1343.75,$20.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Drain,olit_02da0296ed304fc4bc3f04ba6d35558c,Condensate Drain Flush – Basic,Flush and clear primary condensate drain and trap; add biocide as needed. Includes 1-year labor warranty and full manufacturer warranty on used chemicals. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$226.56,$5.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Drain,olit_864699edc1c340678afc79652aba0641,Condensate Pan Treatment – Tabs,Install pan treatment tabs to inhibit algae growth and odors. Includes 1-year labor warranty and full manufacturer warranty. Includes 1-year labor warranty and full manufacturer warranty where applicable.,$117.19,$5.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Diagnostics,"",olit_4166a6e9a0534a63b71609d4bd3a3f0d,Residential Diagnostic,"Trip, system diagnostics, and estimate preparation. Includes 1-year labor warranty on workmanship for completed repairs and full manufacturer warranty where applicable.",$125.00,$75.00,false,"","",true
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Ignition,olit_24f51f1993e3490ab7d32591d3dbaad0,Igniter Replacement (Hot Surface),Replace failed hot surface igniter to restore furnace ignition. Includes 1-year labor warranty and full manufacturer warranty.,$507.81,$45.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Ignition,olit_0635409b48f74544b86f01310e5e8091,Igniter Replacement (Spark Igniter),Replace spark igniter assembly for reliable furnace startup. Includes 1-year labor warranty and full manufacturer warranty.,$531.25,$60.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Sensors,olit_4dac3932b0c3436cb38f911958cd54ed,Flame Sensor Replacement,Replace failed flame sensor to ensure proper flame detection and safe furnace operation. Includes 1-year labor warranty and full manufacturer warranty.,$359.38,$20.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Sensors,olit_35059a2a3a404ef38e178b90a4254b50,Pressure Switch Replacement,Replace defective pressure switch to restore safe furnace operation. Includes 1-year labor warranty and full manufacturer warranty.,$500.00,$40.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Motors,olit_96bdc0b2a8d04b82b698ec39797b008b,Inducer Motor Replacement,Replace draft inducer motor to restore proper venting and combustion airflow. Includes 1-year labor warranty and full manufacturer warranty.,$1046.88,$250.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Gas,olit_a32037b9b7054171ad0016827d585ce4,Gas Valve Replacement,Replace defective furnace gas valve and test combustion. Includes 1-year labor warranty and full manufacturer warranty.,$890.62,$150.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Safety,olit_40a6473c3a34480b93f141cecd8a6217,Limit Switch Replacement,Replace failed high-limit switch for safe furnace operation. Includes 1-year labor warranty and full manufacturer warranty.,$476.56,$25.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Furnace,Safety,olit_172e46e2f7d84d18a819a897fb044cd2,Rollout Switch Replacement,Replace rollout switch to protect against unsafe combustion. Includes 1-year labor warranty and full manufacturer warranty.,$468.75,$20.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Protection,olit_8e511575e7d545b980e2a1e773859f3b,Surge Protector Installation,Install surge protection device to safeguard HVAC system from voltage spikes. Includes 1-year labor warranty and full manufacturer warranty.,$570.31,$85.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Electrical,Safety,olit_853c014cf2f243ae80f5ed735d5cc4be,Float Switch Installation,Install float safety switch to shut system down in case of condensate overflow. Includes 1-year labor warranty and full manufacturer warranty.,$375.00,$30.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Accessories,olit_5aab227d0acd4180a590b17be0b7f2e6,Hard Start Kit Installation,Install hard start kit to provide extra starting torque for compressor. Includes 1-year labor warranty and full manufacturer warranty.,$398.44,$45.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Accessories,olit_0d491606bed04870974c57050a568c55,Soft Start Kit Installation,Install soft start kit for compressor to reduce inrush current and noise. Includes 1-year labor warranty and full manufacturer warranty.,$875.00,$280.00,false,,,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Refrigeration,Flush,olit_fa7a6fa8b199449287411429bdfd5e4b,System Flush / Line Set Flush,Flush and clean refrigeration line set with approved chemical flush. Includes 1-year labor warranty and full manufacturer warranty.,$718.75,$40.00,false,,,false
